,hashOfGame,uuid,playerCard1,playerCard2,action,amount,pot,levelOfBetting,cardsOnBoard,roundCount,isOnSmallblind,isOnBigBlind,smallBlindAmount,bigBlindAmount,stackOfPlayer,stackOfOpponent,sklanskyClass,EHS,HS,PPOT,NPOT,handStrengthFromLibrary,opponentAgressivnessScore,opponentAgressivnessScoreLast7Round,winnerOfRound,finalPotInGame
729,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,SJ,D5,call,20.0,60.0,1.0,"[None, None, None, None, None]",90.0,1.0,0.0,20.0,40.0,2460.0,480.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
730,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,D7,HA,fold,0.0,80.0,1.0,"[None, None, None, None, None]",90.0,0.0,1.0,20.0,40.0,480.0,2440.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,80
731,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,D5,H3,raise,20.0,60.0,1.0,"[None, None, None, None, None]",91.0,1.0,0.0,20.0,40.0,460.0,2480.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,akirkhcuxwbsyijkavpouh,60
732,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S9,D9,call,20.0,60.0,1.0,"[None, None, None, None, None]",92.0,1.0,0.0,20.0,40.0,2520.0,420.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
733,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,D8,SJ,raise,0.0,80.0,1.0,"[None, None, None, None, None]",92.0,0.0,1.0,20.0,40.0,420.0,2500.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,akirkhcuxwbsyijkavpouh,80
734,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,H5,H4,fold,0.0,60.0,1.0,"[None, None, None, None, None]",93.0,1.0,0.0,20.0,40.0,400.0,2540.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,akirkhcuxwbsyijkavpouh,60
735,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,D6,SA,fold,0.0,60.0,1.0,"[None, None, None, None, None]",94.0,1.0,0.0,20.0,40.0,2580.0,360.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
736,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,H4,CK,fold,0.0,60.0,1.0,"[None, None, None, None, None]",95.0,1.0,0.0,20.0,40.0,400.0,2540.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,akirkhcuxwbsyijkavpouh,60
737,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,C2,C7,call,20.0,60.0,1.0,"[None, None, None, None, None]",96.0,1.0,0.0,20.0,40.0,2580.0,360.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
738,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C8,SA,fold,0.0,80.0,1.0,"[None, None, None, None, None]",96.0,0.0,1.0,20.0,40.0,360.0,2560.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,akirkhcuxwbsyijkavpouh,80
739,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,ST,S4,raise,20.0,60.0,1.0,"[None, None, None, None, None]",97.0,1.0,0.0,20.0,40.0,340.0,2600.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,akirkhcuxwbsyijkavpouh,60
740,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S3,C7,call,20.0,60.0,1.0,"[None, None, None, None, None]",98.0,1.0,0.0,20.0,40.0,2640.0,300.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
741,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,DA,S6,raise,0.0,80.0,1.0,"[None, None, None, None, None]",98.0,0.0,1.0,20.0,40.0,300.0,2620.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,akirkhcuxwbsyijkavpouh,80
742,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,S7,HA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",99.0,1.0,0.0,20.0,40.0,280.0,2660.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,akirkhcuxwbsyijkavpouh,60
743,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,H5,DQ,fold,0.0,60.0,1.0,"[None, None, None, None, None]",100.0,1.0,0.0,20.0,40.0,2700.0,240.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
744,ce4506eb103fabe51baf9f6e56fb7661fb5fb82d,pemaianrjfrigzmrpyslrq,D8,SJ,raise,20.0,60.0,1.0,"[None, None, None, None, None]",1.0,1.0,0.0,20.0,40.0,1480.0,1460.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mwvftxxtvlrazuebcrbgzr,60
745,ce4506eb103fabe51baf9f6e56fb7661fb5fb82d,mwvftxxtvlrazuebcrbgzr,CQ,H6,call,20.0,60.0,1.0,"[None, None, None, None, None]",2.0,1.0,0.0,20.0,40.0,1500.0,1440.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mwvftxxtvlrazuebcrbgzr,80
746,ce4506eb103fabe51baf9f6e56fb7661fb5fb82d,pemaianrjfrigzmrpyslrq,CK,H9,raise,0.0,80.0,1.0,"[None, None, None, None, None]",2.0,0.0,1.0,20.0,40.0,1440.0,1480.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mwvftxxtvlrazuebcrbgzr,80
747,ce4506eb103fabe51baf9f6e56fb7661fb5fb82d,pemaianrjfrigzmrpyslrq,S6,HA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",3.0,1.0,0.0,20.0,40.0,1420.0,1520.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,mwvftxxtvlrazuebcrbgzr,60
